
Unordered Signature Table
---------------------
      Null-s -- 1791
---------------------
aborigine	aborigines
bullet	bullets
bundle	bundles
burden	burdens
burn	burns
butt	butts
button	buttons
cabin	cabins
cabinet	cabinets
cafe	cafes
calculation	calculations
calendar	calendars
call	calls
camera	cameras
camp	camps
campaign	campaigns
candidate	candidates
candle	candles
canned	scanned
canon	canons
card	cards
cardinal	cardinals
care	cares
cared	scared
career	careers
carriage	carriages
carrier	carriers
cars	scars
cart	carts
cartridge	cartridges
case	cases
cast	casts
catastrophe	catastrophes
catholic	catholics
cause	causes
cave	caves
cell	cells
cent	cents
cent	scent
center	centers
chain	chains
chair	chairs
chamber	chambers
champion	champions
chance	chances
change	changes
channel	channels
chapter	chapters
character	characters
characteristic	characteristics
charge	charges
chart	charts
check	checks
cheek	cheeks
chicken	chickens
chief	chiefs
choice	choices
choose	chooses
chord	chords
chore	chores
christian	christians
cigarette	cigarettes
circle	circles
circumstance	circumstances
cite	cites
citizen	citizens
claim	claims
claimant	claimants
classic	classics
classroom	classrooms
cleaner	cleaners
clerk	clerks
cliche	cliches
client	clients
clock	clocks
close	closes
cloud	clouds
club	clubs
clue	clues
cluster	clusters
coal	coals
coast	coasts
coat	coats
coating	coatings
code	codes
coin	coins
coincide	coincides
colleague	colleagues
collect	collects
collection	collections
collector	collectors
college	colleges
color	colors
colt	colts
column	columns
combination	combinations
combine	combines
come	comes
comfort	comforts
command	commands
commander	commanders
comment	comments
commercial	commercials
commission	commissions
commissioner	commissioners
commitment	commitments
committee	committees
communication	communications
communist	communists
companion	companions
compare	compares
comparison	comparisons
complaint	complaints
complete	completes
completion	completions
component	components
composer	composers
composition	compositions
compound	compounds
computer	computers
concentrate	concentrates
concentration	concentrations
concept	concepts
concern	concerns
concert	concerts
conclusion	conclusions
condition	conditions
conditioner	conditioners
conference	conferences
conflict	conflicts
conform	conforms
confront	confronts
congregation	congregations
connection	connections
consequence	consequences
consider	considers
consideration	considerations
consist	consists
constituent	constituents
constitute	constitutes
consultant	consultants
consumer	consumers
contact	contacts
contain	contains
contend	contends
content	contents
contest	contests
continent	continents
continue	continues
contour	contours
contract	contracts
contradiction	contradictions
contrast	contrasts
contribute	contributes
contribution	contributions
control	controls
convention	conventions
conversation	conversations
conversion	conversions
convert	converts
conviction	convictions
cook	cooks
cooperative	cooperatives
coordinate	coordinates
cope	scope
core	score
corner	corners
corp	corps
corporation	corporations
corpse	corpses
correspond	corresponds
correspondent	correspondents
cost	costs
costume	costumes
cottage	cottages
council	councils
count	counts
counter	counters
counterpart	counterparts
couple	couples
course	courses
court	courts
cousin	cousins
cover	covers
crack	cracks
crawled	scrawled
cream	scream
create	creates
creature	creatures
credit	credits
crew	screw
crime	crimes
criminal	criminals
critic	critics
criticism	criticisms
crop	crops
crowd	crowds
crystal	crystals
cuban	cubans
culture	cultures
current	currents
curtain	curtains
curve	curves
custom	customs
customer	customers
cycle	cycles
cylinder	cylinders
dance	dances
dancer	dancers
danger	dangers
dare	dares
date	dates
daughter	daughters
deal	deals
dealer	dealers
dealing	dealings
death	deaths
debate	debates
debt	debts
decade	decades
decide	decides
decision	decisions
deck	decks
declare	declares
decline	declines
decoration	decorations
decrease	decreases
deduction	deductions
deed	deeds
defendant	defendants
defense	defenses
define	defines
definition	definitions
degree	degrees
delegate	delegates
deliver	delivers
demand	demands
democrat	democrats
demon	demons
demonstrate	demonstrates
denomination	denominations
department	departments
departure	departures
depend	depends
deposit	deposits
depth	depths
derive	derives
describe	describes
description	descriptions
desert	deserts
deserve	deserves
design	designs
designer	designers
desire	desires
detail	details
detective	detectives
determine	determines
develop	develops
development	developments
device	devices
diagram	diagrams
diamond	diamonds
differ	differs
difference	differences
dimension	dimensions
dinner	dinners
diplomat	diplomats
direct	directs
direction	directions
director	directors
disc	discs
discharge	discharges
discount	discounts
discussion	discussions
disease	diseases
disorder	disorders
display	displays
dispute	disputes
distance	distances
distinction	distinctions
distribution	distributions
district	districts
divide	divides
dividend	dividends
division	divisions
doctor	doctors
doctrine	doctrines
document	documents
doing	doings
doll	dolls
dollar	dollars
dome	domes
dominate	dominates
donor	donors
door	doors
dose	doses
double	doubles
doubt	doubts
douglas	douglass
down	downs
dozen	dozens
drain	drains
drama	dramas
draw	draws
drawer	drawers
drawing	drawings
dream	dreams
drift	drifts
drink	drinks
drive	drives
driver	drivers
drop	drops
drug	drugs
drum	drums
dwelling	dwellings
eagle	eagles
earning	earnings
earthquake	earthquakes
eating	seating
economic	economics
economist	economists
edge	edges
edition	editions
editor	editors
editorial	editorials
educator	educators
effect	effects
effort	efforts
elbow	elbows
elder	elders
elect	select
elected	selected
election	elections
election	selection
elections	selections
electron	electrons
electronic	electronics
element	elements
elephant	elephants
emerge	emerges
emotion	emotions
employ	employs
employee	employees
employer	employers
enable	enables
encounter	encounters
encourage	encourages
endeavor	endeavors
ending	sending
engage	engages
engagement	engagements
engine	engines
engineer	engineers
enjoy	enjoys
entail	entails
enter	enters
enterprise	enterprises
entry	sentry
enzyme	enzymes
episode	episodes
equal	equals
equation	equations
equivalent	equivalents
error	errors
essay	essays
establishment	establishments
estate	estates
estimate	estimates
european	europeans
evaluation	evaluations
even	seven
evening	evenings
event	events
evidence	evidences
evil	evils
evoke	evokes
examination	examinations
example	examples
exceed	exceeds
exception	exceptions
excerpt	excerpts
exchange	exchanges
executive	executives
exercise	exercises
exhibit	exhibits
exist	exists
expect	expects
expectation	expectations
expedition	expeditions
expenditure	expenditures
expense	expenses
experience	experiences
experiment	experiments
expert	experts
explain	explains
explanation	explanations
export	exports
expression	expressions
extend	extends
extension	extensions
extreme	extremes
fabric	fabrics
face	faces
fact	facts
faction	factions
factor	factors
fail	fails
fall	falls
farm	farms
farmer	farmers
fashion	fashions
father	fathers
fault	faults
favor	favors
favorite	favorites
fear	fears
feather	feathers
feature	features
feed	feeds
feel	feels
feeling	feelings
fellow	fellows
female	females
fence	fences
fiber	fibers
field	fields
fight	fights
fighter	fighters
figure	figures
file	files
fill	fills
film	films
final	finals
finance	finances
find	finds
finding	findings
finger	fingers
fire	fires
firm	firms
fist	fists
flag	flags
flame	flames
flight	flights
flood	floods
floor	floors
flow	flows
flower	flowers
fluid	fluids
foam	foams
folk	folks
follow	follows
food	foods
fool	fools
force	forces
forecast	forecasts
forest	forests
fork	forks
form	forms
formation	formations
formula	formulas
formulation	formulations
fortune	fortunes
foundation	foundations
founder	founders
fraction	fractions
fragment	fragments
frame	frames
frank	franks
frankfurter	frankfurters
fraud	frauds
freeway	freeways
friend	friends
front	fronts
frontier	frontiers
fruit	fruits
function	functions
fund	funds
fundamental	fundamentals
gain	gains
gallon	gallons
game	games
gang	gangs
garage	garages
garden	gardens
garment	garments
gate	gates
gathering	gatherings
general	generals
generate	generates
generation	generations
generator	generators
german	germans
gesture	gestures
ghetto	ghettos
ghost	ghosts
giant	giants
gift	gifts
girl	girls
give	gives
glance	glances
gland	glands
glove	gloves
goal	goals
good	goods
government	governments
governor	governors
grade	grades
graduate	graduates
grain	grains
gram	grams
grant	grants
grave	graves
greek	greeks
green	greens
greeting	greetings
grip	grips
ground	grounds
group	groups
grow	grows
guarantee	guarantees
guard	guards
guerrilla	guerrillas
guest	guests
guide	guides
habit	habits
hair	hairs
hall	shall
hand	hands
handle	handles
happen	happens
happening	happenings
hardship	hardships
have	shave
having	shaving
hazard	hazards
head	heads
headache	headaches
hear	hears
hear	shear
hearing	hearings
hearing	shearing
heart	hearts
heaven	heavens
heel	heels
height	heights
hell	shell
help	helps
herd	herds
herman	sherman
hide	hides
highway	highways
hill	hills
hint	hints
hips	ships
historian	historians
hold	holds
holder	holders
hole	holes
holiday	holidays
home	homes
honor	honors
hook	shook
hoot	shoot
hope	hopes
horizon	horizons
horn	horns
horse	horses
hospital	hospitals
host	hosts
hotel	hotels
hour	hours
house	houses
human	humans
hundred	hundreds
hunter	hunters
husband	husbands
hymn	hymns
idea	ideas
ideal	ideals
ignore	ignores
illusion	illusions
illustrate	illustrates
illustration	illustrations
image	images
implication	implications
imply	simply
import	imports
impression	impressions
improve	improves
improvement	improvements
impulse	impulses
incident	incidents
include	includes
increase	increases
indian	indians
indicate	indicates
indication	indications
indicator	indicators
individual	individuals
infection	infections
influence	influences
inform	informs
ingredient	ingredients
inner	sinner
insect	insects
insight	insights
insist	insists
installation	installations
instance	instances
institution	institutions
instruction	instructions
instrument	instruments
intellectual	intellectuals
intend	intends
intention	intentions
interest	interests
intermediate	intermediates
interpretation	interpretations
intersection	intersections
interval	intervals
interview	interviews
invasion	invasions
investigation	investigations
investment	investments
invitation	invitations
invite	invites
involve	involves
iron	irons
island	islands
issue	issues
italian	italians
item	items
jacket	jackets
janitor	janitors
john	johns
joint	joints
joke	jokes
journal	journals
judge	judges
judgment	judgments
junior	juniors
keep	keeps
kidney	kidneys
kill	kills
kill	skill
killed	skilled
kills	skills
kind	kinds
king	kings
kitchen	kitchens
kitten	kittens
knee	knees
knight	knights
know	knows
korean	koreans
laborer	laborers
lack	lacks
lack	slack
lacks	slacks
lake	lakes
lamb	lambs
lamp	lamps
land	lands
landscape	landscapes
language	languages
late	slate
later	slater
laughter	slaughter
lawn	lawns
lawyer	lawyers
layer	layers
lead	leads
leader	leaders
league	leagues
learn	learns
leave	leaves
lecture	lectures
legend	legends
legislator	legislators
length	lengths
lesson	lessons
letter	letters
level	levels
lever	levers
liberal	liberals
librarian	librarians
license	licenses
light	lights
light	slight
lightly	slightly
like	likes
limb	limbs
limit	limits
limitation	limitations
line	lines
linguist	linguists
linguistic	linguistics
link	links
lion	lions
lips	slips
liquid	liquids
list	lists
listener	listeners
live	lives
load	loads
loading	loadings
loan	loans
loan	sloan
location	locations
lock	locks
look	looks
lose	loses
lots	slots
love	loves
lover	lovers
lower	slower
lump	slump
lung	lungs
lyric	lyrics
machine	machines
magazine	magazines
maid	maids
mail	mails
maintain	maintains
make	makes
maker	makers
male	males
manager	managers
maneuver	maneuvers
manifestation	manifestations
manner	manners
manufacturer	manufacturers
margin	margins
marine	marines
mark	marks
market	markets
marriage	marriages
master	masters
mate	mates
material	materials
matter	matters
meadow	meadows
meal	meals
mean	means
meaning	meanings
measure	measures
measurement	measurements
meat	meats
mechanic	mechanics
mechanism	mechanisms
medicine	medicines
meet	meets
meeting	meetings
member	members
mention	mentions
merchant	merchants
merger	mergers
merit	merits
message	messages
metal	metals
meter	meters
method	methods
mexican	mexicans
mile	miles
mile	smile
miles	smiles
mill	mills
million	millions
mind	minds
mine	mines
mineral	minerals
minister	ministers
minor	minors
minute	minutes
miracle	miracles
missile	missiles
mission	missions
mistake	mistakes
mode	modes
model	models
mold	molds
molecule	molecules
moment	moments
monk	monks
month	months
monument	monuments
mood	moods
moral	morals
more	mores
morning	mornings
mortgage	mortgages
motel	motels
mother	mothers
motif	motifs
motion	motions
motivation	motivations
motive	motives
motor	motors
mount	mounts
mountain	mountains
mouth	mouths
move	moves
movement	movements
movie	movies
murder	murders
murderer	murderers
muscle	muscles
museum	museums
musician	musicians
myth	myths
nail	nails
name	names
nation	nations
native	natives
nazi	nazis
need	needs
needle	needles
needles	needless
negotiation	negotiations
neighbor	neighbors
neighborhood	neighborhoods
nephew	nephews
nerve	nerves
network	networks
newcomer	newcomers
newspaper	newspapers
night	nights
noise	noises
norm	norms
nose	noses
note	notes
notice	notices
notion	notions
novel	novels
number	numbers
nurse	nurses
object	objects
objection	objections
objective	objectives
obligation	obligations
observation	observations
observe	observes
observer	observers
obstacle	obstacles
occasion	occasions
occur	occurs
occurrence	occurrences
odor	odors
offense	offenses
offer	offers
office	offices
officer	officers
official	officials
oils	soils
open	opens
opening	openings
operate	operates
operation	operations
operator	operators
opinion	opinions
opponent	opponents
orange	oranges
orbit	orbits
order	orders
organ	organs
organism	organisms
organization	organizations
origin	origins
oriole	orioles
other	others
ought	sought
outcome	outcomes
outdoor	outdoors
outlet	outlets
outline	outlines
output	outputs
overall	overalls
overcome	overcomes
owner	owners
pace	paces
pace	space
paced	spaced
paces	spaces
pacing	spacing
package	packages
page	pages
pageant	pageants
pain	pains
pain	spain
paint	paints
painter	painters
painting	paintings
pair	pairs
palace	palaces
palm	palms
panel	panels
paper	papers
paragraph	paragraphs
parameter	parameters
parent	parents
park	parks
park	spark
parks	sparks
part	parts
participate	participates
particle	particles
particular	particulars
partner	partners
passage	passages
passenger	passengers
passion	passions
pastor	pastors
patent	patents
path	paths
patient	patients
pattern	patterns
payment	payments
peak	peaks
peak	speak
peaks	speaks
peanut	peanuts
pear	spear
peasant	peasants
peck	speck
peer	peers
pending	spending
pension	pensions
people	peoples
percentage	percentages
perception	perceptions
performance	performances
performer	performers
period	periods
permit	permits
persian	persians
persist	persists
person	persons
petition	petitions
phase	phases
philosopher	philosophers
phone	phones
photo	photos
photograph	photographs
photographer	photographers
phrase	phrases
physician	physicians
picture	pictures
piece	pieces
pilgrim	pilgrims
pill	pills
pilot	pilots
pine	spine
pipe	pipes
pitcher	pitchers
place	places
plain	plains
plan	plans
plane	planes
planet	planets
plank	planks
plant	plants
plantation	plantations
plastic	plastics
plate	plates
platform	platforms
play	plays
player	players
pleasure	pleasures
plot	plots
pocket	pockets
poem	poems
poet	poets
point	points
pole	poles
politician	politicians
poll	polls
pond	ponds
pool	pools
population	populations
port	sport
portion	portions
portrait	portraits
portray	portrays
position	positions
possession	possessions
post	posts
pots	spots
pound	pounds
powder	powders
power	powers
practice	practices
pray	spray
prayed	sprayed
prayer	prayers
precaution	precautions
precinct	precincts
predecessor	predecessors
prefer	prefers
preference	preferences
premise	premises
preparation	preparations
present	presents
presentation	presentations
preserve	preserves
president	presidents
pressure	pressures
prevail	prevails
prevent	prevents
price	prices
priest	priests
principle	principles
print	prints
prisoner	prisoners
privilege	privileges
prize	prizes
problem	problems
procedure	procedures
proceed	proceeds
proceeding	proceedings
produce	produces
producer	producers
product	products
production	productions
profession	professions
professional	professionals
professor	professors
profit	profits
program	programs
project	projects
projection	projections
promise	promises
prop	props
proportion	proportions
proposal	proposals
propose	proposes
proprietor	proprietors
prospect	prospects
protein	proteins
protest	protests
protestant	protestants
prove	proves
provide	provides
province	provinces
provision	provisions
psychologist	psychologists
publication	publications
publisher	publishers
pull	pulls
pump	pumps
pupil	pupils
puppet	puppets
purchase	purchases
purpose	purposes
qualification	qualifications
quarter	quarters
queen	queens
question	questions
questionnaire	questionnaires
rabbit	rabbits
race	races
radio	radios
raid	raids
rail	rails
railroad	railroads
rain	rains
raise	raises
rancher	ranchers
range	ranges
rank	ranks
rate	rates
rating	ratings
ratio	ratios
reaction	reactions
reactor	reactors
read	reads
reader	readers
reading	readings
realtor	realtors
reason	reasons
rebel	rebels
recall	recalls
receive	receives
receiver	receivers
recipient	recipients
recognize	recognizes
recommendation	recommendations
record	records
recording	recordings
recruit	recruits
reduce	reduces
refer	refers
reference	references
referral	referrals
refinement	refinements
reflect	reflects
reflection	reflections
reform	reforms
refugee	refugees
refuse	refuses
regard	regards
region	regions
register	registers
regular	regulars
regulation	regulations
reject	rejects
relate	relates
relation	relations
relationship	relationships
relative	relatives
release	releases
religion	religions
remain	remains
remark	remarks
remember	remembers
remind	reminds
remove	removes
repair	repairs
replace	replaces
report	reports
reporter	reporters
represent	represents
representation	representations
representative	representatives
republic	republics
republican	republicans
request	requests
require	requires
requirement	requirements
resemble	resembles
reservation	reservations
reserve	reserves
resident	residents
resolution	resolutions
resource	resources
respect	respects
respond	responds
respondent	respondents
response	responses
rest	rests
restaurant	restaurants
restraint	restraints
restriction	restrictions
result	results
retain	retains
return	returns
reveal	reveals
revenue	revenues
review	reviews
revision	revisions
revival	revivals
revolution	revolutions
rhode	rhodes
rhythm	rhythms
ribbon	ribbons
richard	richards
ride	rides
rider	riders
rifle	rifles
right	rights
ring	rings
ripple	ripples
rise	rises
risk	risks
river	rivers
road	roads
robert	roberts
rock	rocks
rocket	rockets
roger	rogers
role	roles
roll	rolls
roman	romans
romantic	romantics
roof	roofs
room	rooms
root	roots
rose	roses
round	rounds
route	routes
ruin	ruins
rule	rules
rumor	rumors
rupee	rupees
russian	russians
sacrifice	sacrifices
sailor	sailors
saint	saints
sale	sales
saloon	saloons
salt	salts
sample	samples
sanction	sanctions
sand	sands
satellite	satellites
sauce	sauces
save	saves
saving	savings
scale	scales
scandal	scandals
scar	scars
scene	scenes
schedule	schedules
scheme	schemes
scholar	scholars
scholarship	scholarships
school	schools
science	sciences
scientist	scientists
score	scores
screen	screens
screw	screws
sculpture	sculptures
seam	seams
season	seasons
seat	seats
second	seconds
secret	secrets
section	sections
sector	sectors
seed	seeds
seek	seeks
seem	seems
segment	segments
select	selects
selection	selections
sell	sells
senator	senators
sensation	sensations
sense	senses
sentence	sentences
sentiment	sentiments
sequence	sequences
servant	servants
serve	serves
service	services
session	sessions
setting	settings
settlement	settlements
shade	shades
shadow	shadows
shake	shakes
shape	shapes
share	shares
sheet	sheets
shell	shells
shelter	shelters
shift	shifts
ship	ships
shock	shocks
shoe	shoes
shop	shops
shore	shores
short	shorts
shot	shots
shoulder	shoulders
shout	shouts
show	shows
shutter	shutters
side	sides
sidewalk	sidewalks
sight	sights
sign	signs
signal	signals
signature	signatures
sing	sings
singer	singers
sister	sisters
site	sites
situation	situations
size	sizes
skill	skills
skin	skins
slack	slacks
slave	slaves
sleeve	sleeves
slide	slides
slip	slips
slogan	slogans
slope	slopes
slot	slots
slum	slums
smell	smells
smile	smiles
snake	snakes
snow	snows
soil	soils
soldier	soldiers
sole	soles
solid	solids
soloist	soloists
solution	solutions
sometime	sometimes
sonata	sonatas
song	songs
sort	sorts
soul	souls
sound	sounds
source	sources
southerner	southerners
soviet	soviets
soybean	soybeans
space	spaces
span	spans
spark	sparks
speak	speaks
speaker	speakers
specialist	specialists
specimen	specimens
spectator	spectators
speed	speeds
spend	spends
spirit	spirits
sponsor	sponsors
sport	sports
spot	spots
spread	spreads
spring	springs
square	squares
stable	table
staff	staffs
stage	stages
stain	stains
stake	stakes
stake	take
stakes	takes
stalked	talked
stall	tall
stand	stands
standard	standards
star	stars
start	starts
start	tart
state	states
statement	statements
station	stations
statue	statues
statute	statutes
stay	stays
steam	team
stem	stems
step	steps
stephen	stephens
stick	sticks
still	till
stock	stocks
stone	stones
stone	tone
stones	tones
stony	tony
stool	tool
stop	stops
stopped	topped
stops	tops
store	stores
store	tore
stories	tories
storm	storms
story	tory
strain	strains
strain	train
strained	trained
straining	training
strains	trains
stranger	strangers
stray	strays
stray	tray
streak	streaks
stream	streams
street	streets
strengthen	strengthens
stride	strides
strike	strikes
string	strings
strip	strips
strip	trip
strips	trips
stroke	strokes
struck	truck
structure	structures
student	students
stumbled	tumbled
style	styles
subject	subjects
submarine	submarines
subordinate	subordinates
substance	substances
substitute	substitutes
suburb	suburbs
succeed	succeeds
successor	successors
suffer	suffers
suggest	suggests
suggestion	suggestions
suit	suits
suitcase	suitcases
summer	summers
sunday	sundays
supervisor	supervisors
supper	upper
supplement	supplements
support	supports
surface	surfaces
surge	urge
surged	urged
surprise	surprises
surrounding	surroundings
survey	surveys
suspicion	suspicions
swear	wear
sweep	weep
sweeping	weeping
swell	well
swept	wept
swing	wing
switch	witch
switches	witches
sword	word
swore	wore
sworn	worn
symbol	symbols
symptom	symptoms
system	systems
table	tables
tablespoon	tablespoons
tail	tails
take	takes
tale	tales
talent	talents
talk	talks
tank	tanks
target	targets
task	tasks
taste	tastes
taxpayer	taxpayers
teacher	teachers
teaching	teachings
team	teams
tear	tears
technician	technicians
technique	techniques
teen	teens
telephone	telephones
tell	tells
temperature	temperatures
temptation	temptations
tenant	tenants
tend	tends
tension	tensions
tent	tents
term	terms
terrace	terraces
test	tests
texan	texans
textile	textiles
texture	textures
thank	thanks
theater	theaters
their	theirs
theme	themes
theologian	theologians
thermometer	thermometers
thigh	thighs
thing	things
think	thinks
thinker	thinkers
thought	thoughts
thousand	thousands
thread	threads
threat	threats
threaten	threatens
throat	throats
throw	throws
thrust	thrusts
ticket	tickets
tile	tiles
timber	timbers
time	times
tire	tires
tissue	tissues
title	titles
tone	tones
tool	tools
topic	topics
total	totals
tour	tours
tourist	tourists
tournament	tournaments
toward	towards
towel	towels
tower	towers
town	towns
trace	traces
track	tracks
tract	tracts
tractor	tractors
trade	trades
trader	traders
tradition	traditions
trail	trails
trailer	trailers
train	trains
transaction	transactions
transfer	transfers
transition	transitions
transport	transports
trap	traps
travel	travels
traveler	travelers
treat	treats
treatment	treatments
tree	trees
trend	trends
trial	trials
tribe	tribes
trick	tricks
trip	trips
troop	troops
trooper	troopers
trouble	troubles
truck	trucks
trunk	trunks
trust	trusts
trustee	trustees
tube	tubes
tumor	tumors
tune	tunes
turk	turks
turn	turns
turnpike	turnpikes
twin	twins
twist	twists
type	types
undergraduate	undergraduates
understand	understands
uniform	uniforms
union	unions
unit	units
upward	upwards
urge	urges
vacation	vacations
valley	valleys
value	values
variable	variables
variation	variations
vegetable	vegetables
vehicle	vehicles
vein	veins
verse	verses
version	versions
vessel	vessels
veteran	veterans
vice	vices
victim	victims
view	views
village	villages
virtue	virtues
vision	visions
visit	visits
visitor	visitors
vitamin	vitamins
voice	voices
volume	volumes
volunteer	volunteers
vote	votes
wage	wages
wagon	wagons
waiter	waiters
walk	walks
wall	walls
want	wants
warning	warnings
warrant	warrants
warrior	warriors
wart	warts
waste	wastes
water	waters
wave	waves
weapon	weapons
wear	wears
week	weeks
weekend	weekends
weight	weights
well	wells
wheel	wheels
white	whites
width	widths
william	williams
wind	winds
window	windows
wine	wines
wing	wings
wire	wires
wonder	wonders
wood	woods
word	words
work	works
worker	workers
working	workings
workshop	workshops
world	worlds
wound	wounds
wrist	wrists
write	writes
writer	writers
writing	writings
wrong	wrongs
yank	yanks
yankee	yankees
yard	yards
yarn	yarns
year	years
yield	yields
youngster	youngsters
your	yours
youth	youths



---------------------
      Null-de -- 551
---------------------
abandon	abandoned
absorb	absorbed
accept	accepted
accomplish	accomplished
account	accounted
adapt	adapted
address	addressed
adjust	adjusted
adopt	adopted
affect	affected
affirm	affirmed
afford	afforded
alarm	alarmed
allow	allowed
alter	altered
amount	amounted
anchor	anchored
answer	answered
appeal	appealed
appear	appeared
appoint	appointed
approach	approached
arch	arched
arrest	arrested
assault	assaulted
assert	asserted
assess	assessed
assign	assigned
assist	assisted
attach	attached
attack	attacked
attain	attained
attempt	attempted
attend	attended
attract	attracted
avoid	avoided
await	awaited
award	awarded
back	backed
bates	debates
bath	bathed
beard	bearded
belong	belonged
bless	blessed
block	blocked
bloom	bloomed
board	boarded
boast	boasted
boil	boiled
bolt	bolted
book	booked
borrow	borrowed
bother	bothered
bound	bounded
breast	breasted
breath	breathed
broaden	broadened
brush	brushed
bunch	bunched
burn	burned
call	called
calm	calmed
cancel	canceled
caution	cautioned
ceased	deceased
cent	decent
center	centered
chart	charted
check	checked
cherish	cherished
chill	chilled
claim	claimed
clean	cleaned
clear	cleared
climb	climbed
cloth	clothed
cloud	clouded
clutch	clutched
cock	cocked
collect	collected
color	colored
command	commanded
comment	commented
complain	complained
compound	compounded
conceal	concealed
concern	concerned
condition	conditioned
conduct	conducted
confess	confessed
confirm	confirmed
confront	confronted
consider	considered
consist	consisted
construct	constructed
consult	consulted
contain	contained
contend	contended
content	contented
contract	contracted
convert	converted
convey	conveyed
convict	convicted
cook	cooked
cool	cooled
correct	corrected
count	counted
cover	covered
crack	cracked
crash	crashed
crawl	crawled
credit	credited
cross	crossed
crouch	crouched
crowd	crowded
crown	crowned
damn	damned
dash	dashed
defeat	defeated
defeat	feat
defend	defended
define	fine
definite	finite
deformation	formation
delay	delayed
delight	delighted
delight	light
delighted	lighted
deliver	delivered
deliver	liver
demand	demanded
denomination	nomination
denotes	notes
depart	departed
depart	part
departed	parted
depend	depended
depending	pending
deposit	deposited
depressed	pressed
depressing	pressing
descent	scent
desegregated	segregated
desegregation	segregation
desert	deserted
deserve	serve
deserved	served
deserves	serves
design	designed
design	sign
designed	signed
designing	signing
designs	signs
despite	spite
destroy	destroyed
detail	detailed
detail	tail
details	tails
detect	detected
determination	termination
develop	developed
device	vice
devices	vices
devoid	void
devote	vote
devoted	voted
devoting	voting
differ	differed
direct	directed
disappear	disappeared
discover	discovered
discuss	discussed
dismiss	dismissed
dispatch	dispatched
display	displayed
disrupt	disrupted
distinguish	distinguished
disturb	disturbed
document	documented
doubt	doubted
down	downed
draft	drafted
drain	drained
dream	dreamed
dress	dressed
drift	drifted
drill	drilled
duck	ducked
earn	earned
echo	echoed
edward	ward
effect	effected
elapsed	lapse
elect	elected
emerged	merge
employ	employed
enact	enacted
encounter	encountered
enjoy	enjoyed
enlist	enlisted
enroll	enrolled
enter	entered
entertain	entertained
erect	erected
escort	escorted
establish	established
exceed	exceeded
exert	exerted
exhaust	exhausted
exhibit	exhibited
exist	existed
expand	expanded
expect	expected
experiment	experimented
explain	explained
exploit	exploited
express	expressed
extend	extended
extract	extracted
fail	failed
fashion	fashioned
favor	favored
fear	feared
fill	filled
filter	filtered
finish	finished
flash	flashed
flood	flooded
flourish	flourished
flow	flowed
flush	flushed
focus	focused
fold	folded
follow	followed
form	formed
foster	fostered
found	founded
frighten	frightened
fulfill	fulfilled
furnish	furnished
gain	gained
